Age,Gender,County,Monthly_Income,Loan_Amount,Loan_Term_Days,Loan_Purpose,Mpesa_Transactions,Mpesa_Volume,Previous_Loans,Previous_Defaults,Repayment_Score,Credit_Score,Loan_Repaid
56,Male,Nakuru,33090,13882,60,Emergency,119,16328,3,0,0.791,0.74,1
46,Male,Mombasa,43196,26739,60,Business,188,21007,5,1,0.8,0.708,1
32,Female,Mombasa,33621,27156,60,School Fees,105,26653,2,0,0.611,0.65,1
60,Female,Nakuru,28490,30352,14,Emergency,146,29430,3,0,0.879,0.778,1
25,Female,Mombasa,32998,48381,14,Farm Inputs,115,16482,2,0,0.579,0.633,0
38,Female,Meru,33085,49343,30,School Fees,87,13019,1,0,0.715,0.702,1
56,Male,Nakuru,13867,32630,60,Personal,11,10622,2,0,0.568,0.603,0
36,Female,Mombasa,27313,10688,60,Business,186,15707,5,0,0.514,0.593,0
40,Male,Meru,42509,28768,14,Emergency,190,18228,2,0,0.773,0.743,1
28,Male,Meru,22511,28306,30,Business,65,19929,3,1,0.841,0.675,1
28,Female,Kiambu,26553,48398,30,Personal,112,7890,3,1,0.398,0.459,0
41,Male,Nairobi,22089,49593,60,Emergency,76,7985,2,0,0.467,0.563,0
53,Male,Nakuru,5000,47118,30,School Fees,160,13312,0,0,0.944,0.779,1
57,Male,Mombasa,25247,26326,30,School Fees,187,15016,1,0,0.344,0.506,0
41,Male,Kiambu,28621,32495,60,Farm Inputs,103,26312,1,0,0.605,0.641,0
20,Female,Nairobi,18850,4962,60,Personal,57,1000,1,1,1.0,0.675,1
39,Female,Mombasa,11144,30972,60,Emergency,87,10750,2,0,0.468,0.549,1
19,Male,Nairobi,14432,35304,14,Business,176,20919,4,1,0.754,0.636,1
41,Female,Nakuru,34170,23289,60,Business,32,7990,0,0,0.73,0.711,1
61,Male,Meru,48670,23673,30,Emergency,50,14850,3,0,0.688,0.709,1
47,Female,Meru,41589,39387,14,Personal,181,21725,2,0,0.583,0.647,1
55,Female,Nairobi,8867,31235,30,Personal,127,19636,2,0,0.651,0.637,1
19,Female,Meru,35255,9482,14,Business,199,19778,3,0,0.74,0.717,0
38,Female,Kisumu,17042,30398,60,Emergency,159,13579,2,0,0.791,0.718,0
50,Female,Machakos,18012,7363,30,Emergency,171,15847,6,0,0.605,0.627,0
29,Male,Meru,19456,18832,14,Business,88,16165,1,0,0.769,0.71,1
39,Female,Kisumu,33472,14489,30,Emergency,31,11278,0,0,0.657,0.673,0
61,Male,Nakuru,36511,38446,60,Emergency,39,20834,1,0,0.644,0.671,1
42,Male,Nakuru,23823,21988,14,School Fees,51,5851,4,0,0.72,0.692,1
44,Female,Nairobi,24027,21027,30,School Fees,56,10329,5,2,0.721,0.592,1
59,Male,Meru,30571,13447,14,Farm Inputs,73,20881,4,0,0.928,0.805,1
45,Female,Meru,31815,26511,60,Farm Inputs,198,1177,2,0,0.469,0.577,0
33,Male,Meru,39114,44709,14,Personal,45,16000,3,0,0.846,0.775,1
32,Male,Kiambu,9587,19732,14,School Fees,54,22718,1,0,0.896,0.761,1
64,Female,Mombasa,25240,32973,30,School Fees,49,9645,2,0,0.856,0.762,1
61,Female,Machakos,12183,31485,14,School Fees,24,17891,2,0,0.726,0.679,1
20,Female,Meru,24388,17045,60,School Fees,124,15868,0,0,0.47,0.567,0
54,Female,Mombasa,22285,12604,30,Personal,40,19587,2,0,0.493,0.576,1
24,Male,Kiambu,24439,13847,14,Business,95,15097,4,0,0.486,0.576,0
38,Female,Nakuru,15403,3134,60,Personal,74,23031,1,0,0.56,0.6,1
26,Male,Machakos,7152,5601,60,Business,156,17608,1,0,0.828,0.723,0
56,Male,Kisumu,5000,22650,14,Farm Inputs,168,21041,5,0,0.848,0.731,0
35,Male,Nakuru,23425,26470,14,School Fees,137,20668,2,0,0.795,0.729,0
21,Male,Nakuru,19827,18393,30,Business,152,24496,4,1,0.863,0.698,1
42,Male,Nairobi,16888,19203,60,Personal,185,8228,2,0,0.733,0.689,1
31,Male,Kiambu,40870,28326,60,Business,109,6312,6,0,0.661,0.685,0
26,Female,Nairobi,14686,22989,60,Emergency,172,22295,1,0,0.654,0.646,1
43,Male,Nairobi,42002,41939,14,Farm Inputs,102,16137,2,0,0.73,0.721,1
19,Male,Mombasa,44486,46512,14,Farm Inputs,107,28121,2,0,0.476,0.597,0
37,Male,Nakuru,5000,45714,14,School Fees,128,1000,3,1,0.71,0.587,0
45,Female,Kiambu,26108,37267,30,School Fees,182,14504,4,0,0.472,0.571,1
64,Female,Nairobi,20203,43296,60,Personal,78,14865,4,0,0.723,0.688,1
24,Male,Kisumu,5000,16876,60,Business,199,21273,2,1,0.553,0.483,1
